CALVOS DE RANDÍN,Ourense,32644,41.944783,-7.895675
CARBALLEDA DE AVIA,Ourense,32412,42.3202026,-8.1654411
CARBALLEDA DE VALDEORRAS,Ourense,32330,42.415912,-6.91061
CARTELLE,Ourense,32824,42.224932,-8.019572
CASTRELO DE MIÑO,Ourense,32430,42.295739,-8.096432
CASTRELO DO VAL,Ourense,32625,41.988337,-7.421737
CASTRO CALDELAS,Ourense,32760,42.374196,-7.41553
CELANOVA,Ourense,32800,42.151726,-7.957865
CENLLE,Ourense,32459,42.324703,-8.0720947
CHANDREXA DE QUEIXA,Ourense,32786,42.260112,-7.378859
COLES,Ourense,32152,42.41172,-7.839893
CORTEGADA,Ourense,32200,42.206579,-8.17179
CUALEDRO,Ourense,32689,41.988153,-7.594058
ENTRIMO,Ourense,32860,41.932738,-8.118462
ESGOS,Ourense,32720,42.325515,-7.697425
GOMESENDE,Ourense,32212,42.190222,-8.094099
LAROUCO,Ourense,32358,42.346786,-7.163279
LAZA,Ourense,32620,42.06131,-7.461026
LEIRO,Ourense,32420,42.369472,-8.125138
LOBEIRA,Ourense,32850,41.9867383,-8.0397339
LOBIOS,Ourense,32870,41.903615,-8.083175
MACEDA,Ourense,32700,42.270442,-7.653522
MANZANEDA,Ourense,32781,42.3094857,-7.2342437
MASIDE,Ourense,32570,42.4116737,-8.0254511
MELÓN,Ourense,32411,42.257395,-8.2160881
MONTEDERRAMO,Ourense,32750,42.275205,-7.502697
MONTERREI,Ourense,32618,41.9527945,-7.495734
MUÍÑOS,Ourense,32880,41.957892,-7.971712
NOGUEIRA DE RAMUÍN,Ourense,32160,42.41187,-7.72752
O BARCO DE VALDEORRAS,Ourense,32300,42.416851,-6.984107
O BOLO,Ourense,32373,42.307449,-7.098844
O CARBALLIÑO,Ourense,32500,42.429673,-8.077574
O IRIXO,Ourense,32530,42.51302573,-8.119791824
OÍMBRA,Ourense,32613,41.884998,-7.476561
OS BLANCOS,Ourense,32634,41.997224,-7.75241
OURENSE,Ourense,32005,42.33554938,-7.863896191
PADERNE DE ALLARIZ,Ourense,32110,42.272776,-7.750554
PADRENDA,Ourense,32226,42.138666,-8.158558
PARADA DE SIL,Ourense,32740,42.382482,-7.571061
O PEREIRO DE AGUIAR,Ourense,32710,42.346488,-7.801049
PETÍN,Ourense,32356,42.38249,-7.126007
PIÑOR,Ourense,32137,42.4996263,-8.0073191
PONTEDEVA,Ourense,32235,42.16728,-8.138589
PORQUEIRA,Ourense,32643,42.018724,-7.847307
